dataset,model,cal_size,test_size,BBQ_brier,BBQ_logloss,BBQ_kuiper,BBQ_ece-15,BBQ_accuracy,BBQ_time
taiwanese_bankruptcy_prediction,TabICL_GPU,4546,2273,0.04677716913273675,0.09021183546696471,0.0059592584148049355,0.005805688910186291,0.9714034199714661,0.141260732896626
Amazon_employee_access,LimiX_GPU,21846,10923,0.08313742116230233,0.16143623977323313,0.011427683755755424,0.002995697781443596,0.9474503397941589,0.8784838779829443
Bank_Customer_Churn,LimiX_GPU,6666,3334,0.19914894205670974,0.33047055579645823,0.014169787056744099,0.015549947507679462,0.8689262270927429,0.25852706911973655
Bioresponse,LimiX_GPU,2500,1251,0.2774877526354514,0.4337269930013968,0.024236932396888733,0.04159995913505554,0.8033573031425476,0.10664783604443073
E-CommereShippingData,LimiX_GPU,7332,3667,0.35534779419521656,0.49894277705965084,0.042314767837524414,0.020707570016384125,0.6899372935295105,0.2524973261170089
Fitness_Club,LimiX_GPU,1000,500,0.3177825728470029,0.48681045680182294,0.024915408343076706,0.02519923448562622,0.7720000147819519,0.05127833806909621
HR_Analytics_Job_Change_of_Data_Scientists,LimiX_GPU,12772,6386,0.2688528357802837,0.4239952380980474,0.011509852483868599,0.01247499231249094,0.8059818148612976,0.5386545199435204
Is-this-a-good-customer,LimiX_GPU,1148,575,0.19179779601686747,0.33356869872072625,0.029966024681925774,0.010805868543684483,0.8852173686027527,0.05373362987302244
Marketing_Campaign,LimiX_GPU,1493,747,0.13624357341206994,0.2300318636246554,0.014728950336575508,0.016627388074994087,0.9076305031776428,0.06414637411944568
NATICUSdroid,LimiX_GPU,4994,2497,0.08699144509460793,0.1547174795821179,0.007570404559373856,0.013057967647910118,0.9383260011672974,0.1721060338895768
bank-marketing,LimiX_GPU,30140,15071,0.1719687360982559,0.30023482577331523,0.00937638245522976,0.008397098630666733,0.8941012620925903,1.3033218071796
blood-transfusion-service-center,LimiX_GPU,498,250,0.3023783426166093,0.4756227272931783,0.032922979444265366,0.0383768156170845,0.8080000281333923,0.0334884631447494
churn,LimiX_GPU,3333,1667,0.06797004492150682,0.14120332837488966,0.016200777143239975,0.01158579159528017,0.9562087655067444,0.11485015694051981
coil2000_insurance_policies,LimiX_GPU,6548,3274,0.10691652733278738,0.233330135534649,0.021448280662298203,0.0054519823752343655,0.9404398202896118,0.22272948711179197
credit-g,LimiX_GPU,666,334,0.3149276142060174,0.48437424803922535,0.04131738841533661,0.03827998787164688,0.7994012236595154,0.040040611987933517
credit_card_clients_default,LimiX_GPU,20000,10000,0.2646490141381507,0.42352685503637494,0.009329824708402157,0.005764623172581196,0.8216000199317932,0.9207045680377632
diabetes,LimiX_GPU,512,256,0.3204999541748909,0.48853640174237534,0.04120880737900734,0.08450670540332794,0.75,0.03472552797757089
hazelnut-spread-contaminant-detection,LimiX_GPU,1600,800,0.07554589583592289,0.1349574577209389,0.00969192199409008,0.02218356914818287,0.9474999904632568,0.06531508290208876
heloc,LimiX_GPU,6972,3487,0.36419892687016997,0.5445300359686337,0.02065908908843994,0.021748047322034836,0.7338686585426331,0.3013108470477164
in_vehicle_coupon_recommendation,LimiX_GPU,8456,4228,0.35334899463697184,0.5314326828719449,0.020417019724845886,0.029203105717897415,0.745742678642273,0.3707022969610989
jm1,LimiX_GPU,7256,3629,0.2674856992647092,0.42409857472592183,0.01838010922074318,0.015020647086203098,0.8128961324691772,0.2852795699145645
online_shoppers_intention,LimiX_GPU,8220,4110,0.14366810210390626,0.23671364352419513,0.010091427713632584,0.01452137716114521,0.8978102207183838,0.2977842839900404
polish_companies_bankruptcy,LimiX_GPU,3940,1970,0.05447658083050876,0.10347287341382394,0.008060629479587078,0.008412320166826248,0.9634518027305603,0.12842528498731554
qsar-biodeg,LimiX_GPU,702,352,0.17864436008447757,0.3057783713851601,0.037186745554208755,0.03196113929152489,0.875,0.040287382900714874
seismic-bumps,LimiX_GPU,1722,862,0.11168854865904951,0.211588607098658,0.02998969331383705,0.012599307112395763,0.9338747262954712,0.06726212590001523
taiwanese_bankruptcy_prediction,LimiX_GPU,4546,2273,0.045071802335721306,0.08751666456608,0.007203433662652969,0.007929305545985699,0.9705235362052917,0.14044773997738957
APSFailure,TabM_GPU,50666,25334,0.00886390723464266,0.018105729118578492,0.0010016694432124496,0.0012637637555599213,0.9941975474357605,1.7573859081603587
Amazon_employee_access,TabM_GPU,21846,10923,0.0896041972752077,0.16925982849680563,0.01342017948627472,0.0034410094376653433,0.9426897168159485,0.8810879730153829
Bank_Customer_Churn,TabM_GPU,6666,3334,0.1981639465978776,0.32743996079279986,0.010357124730944633,0.016803083941340446,0.8677264451980591,0.26084818691015244
Bioresponse,TabM_GPU,2500,1251,0.2909604836085684,0.455377986968071,0.02171611785888672,0.02895350009202957,0.7905675172805786,0.1042020560707897
Diabetes130US,TabM_GPU,47678,23840,0.1550531486233457,0.2831391956391345,0.012438224628567696,0.004136902280151844,0.9119966626167297,2.092444326961413
E-CommereShippingData,TabM_GPU,7332,3667,0.35790643176411313,0.4996030684219814,0.07356801629066467,0.03522609919309616,0.6896646022796631,0.2693180199712515
Fitness_Club,TabM_GPU,1000,500,0.3260567500321517,0.49583133825283293,0.034895241260528564,0.05378285422921181,0.7580000162124634,0.05148613709025085
GiveMeSomeCredit,TabM_GPU,100000,50000,0.09703733836226767,0.17626530277446542,0.006636245176196098,0.002582126297056675,0.9387199878692627,5.359898672904819
HR_Analytics_Job_Change_of_Data_Scientists,TabM_GPU,12772,6386,0.2702522558188904,0.4254199979222909,0.01372169703245163,0.02182859554886818,0.8022236227989197,0.5539925650227815
Is-this-a-good-customer,TabM_GPU,1148,575,0.1995223966800277,0.34560012979694993,0.03426773101091385,0.04094526544213295,0.8713043332099915,0.053704675985500216
Marketing_Campaign,TabM_GPU,1493,747,0.14652288162718952,0.24275591091031437,0.021492090076208115,0.029811985790729523,0.8955823183059692,0.06427015899680555
NATICUSdroid,TabM_GPU,4994,2497,0.0852359346836253,0.14904389315436956,0.007064260542392731,0.01051001250743866,0.9399279356002808,0.16999819804914296
bank-marketing,TabM_GPU,30140,15071,0.17239541620305557,0.30149658164829635,0.006519751623272896,0.006492494605481625,0.8941676020622253,1.3372432491742074
blood-transfusion-service-center,TabM_GPU,498,250,0.3114937280717862,0.48311668777801364,0.050495970994234085,0.039516471326351166,0.7919999957084656,0.033538774121552706
churn,TabM_GPU,3333,1667,0.06537828669967076,0.1374886430762351,0.010310878045856953,0.015035074204206467,0.9604079127311707,0.11798648885451257
coil2000_insurance_policies,TabM_GPU,6548,3274,0.10742987098186352,0.20985414854683032,0.015838002786040306,0.009353362023830414,0.9404398202896118,0.23020998388528824
credit-g,TabM_GPU,666,334,0.34904614573384246,0.5415085741891429,0.047140009701251984,0.061739906668663025,0.7604790329933167,0.040244762087240815
credit_card_clients_default,TabM_GPU,20000,10000,0.26557441044088376,0.42473212184745834,0.03394805267453194,0.01212360244244337,0.8220999836921692,0.933766262838617
customer_satisfaction_in_airline,TabM_GPU,86586,43294,0.05261383409383362,0.08483461885393288,0.0009241338120773435,0.002144877566024661,0.9624890089035034,3.8334825159981847
diabetes,TabM_GPU,512,256,0.34785503673343876,0.5215284913824672,0.04695041477680206,0.05839511379599571,0.75390625,0.03460991010069847
hazelnut-spread-contaminant-detection,TabM_GPU,1600,800,0.11269947202574773,0.1895878727873369,0.016164541244506836,0.013596746139228344,0.9225000143051147,0.06611039815470576
heloc,TabM_GPU,6972,3487,0.3687164185477867,0.5493176982747727,0.014238826930522919,0.015003204345703125,0.7292801737785339,0.3019571758341044
in_vehicle_coupon_recommendation,TabM_GPU,8456,4228,0.30229419901432164,0.466959734362535,0.016656577587127686,0.024215543642640114,0.7755439877510071,0.37414033082313836
jm1,TabM_GPU,7256,3629,0.2728681831351119,0.432858346316814,0.018877947703003883,0.013771634548902512,0.8098649978637695,0.2891422638203949
kddcup09_appetency,TabM_GPU,33333,16667,0.03370790621771879,0.08019064407929563,0.00743863545358181,0.0004684888990595937,0.9821803569793701,1.2057068948633969
online_shoppers_intention,TabM_GPU,8220,4110,0.14246256255242096,0.23508367512753464,0.010867204517126083,0.008382253348827362,0.9017031788825989,0.30511204805225134
polish_companies_bankruptcy,TabM_GPU,3940,1970,0.04099522968575431,0.08172405569416726,0.011004425585269928,0.011845597065985203,0.9761421084403992,0.12578784488141537
qsar-biodeg,TabM_GPU,702,352,0.18662684629180434,0.3232133302238992,0.04115993529558182,0.04313413426280022,0.8806818127632141,0.04011225211434066
seismic-bumps,TabM_GPU,1722,862,0.11571726389549426,0.2201099194480668,0.02387174405157566,0.01289456058293581,0.9338747262954712,0.06871413090266287
taiwanese_bankruptcy_prediction,TabM_GPU,4546,2273,0.04612717793819401,0.08993011330752482,0.005703764036297798,0.010742963291704655,0.9696436524391174,0.14300074893981218
APSFailure,RealMLP_GPU,50666,25334,0.010809474541322294,0.021310853065352933,0.0007065869867801666,0.0012261578813195229,0.9928159713745117,1.7782974059227854
